
########## RESULTS ##########

Round number: 112200              Ave money: $206.10          Ave winnings: $-4793.90
Round number: 112500              Ave money: $203.35          Ave winnings: $-4796.65
Round number: 112800              Ave money: $202.71          Ave winnings: $-4797.29
Round number: 113100              Ave money: $200.55          Ave winnings: $-4799.45
Round number: 113400              Ave money: $200.01          Ave winnings: $-4799.99
Round number: 113700              Ave money: $198.13          Ave winnings: $-4801.87
Round number: 114000              Ave money: $195.64          Ave winnings: $-4804.36
Round number: 114300              Ave money: $194.43          Ave winnings: $-4805.57
Round number: 114600              Ave money: $192.35          Ave winnings: $-4807.65
Round number: 114900              Ave money: $191.40          Ave winnings: $-4808.60
Round number: 115200              Ave money: $189.66          Ave winnings: $-4810.34
Round number: 115500              Ave money: $189.12          Ave winnings: $-4810.88
Round number: 115800              Ave money: $187.45          Ave winnings: $-4812.55
Round number: 116100              Ave money: $185.23          Ave winnings: $-4814.77
Round number: 116400              Ave money: $184.21          Ave winnings: $-4815.79
Round number: 116700              Ave money: $183.73          Ave winnings: $-4816.27
Round number: 117000              Ave money: $183.11          Ave winnings: $-4816.89
Round number: 117300              Ave money: $182.10          Ave winnings: $-4817.90
Round number: 117600              Ave money: $180.14          Ave winnings: $-4819.86
Round number: 117900              Ave money: $179.41          Ave winnings: $-4820.59
Round number: 118200              Ave money: $177.94          Ave winnings: $-4822.06
Round number: 118500              Ave money: $175.23          Ave winnings: $-4824.77
Round number: 118800              Ave money: $174.41          Ave winnings: $-4825.59
Round number: 119100              Ave money: $173.38          Ave winnings: $-4826.62
Round number: 119400              Ave money: $171.72          Ave winnings: $-4828.28
Round number: 119700              Ave money: $171.57          Ave winnings: $-4828.43
Round number: 120000              Ave money: $171.01          Ave winnings: $-4828.99
Round number: 120300              Ave money: $169.51          Ave winnings: $-4830.49
Round number: 120600              Ave money: $168.18          Ave winnings: $-4831.82
Round number: 120900              Ave money: $166.58          Ave winnings: $-4833.42
Round number: 121200              Ave money: $164.71          Ave winnings: $-4835.29
Round number: 121500              Ave money: $163.25          Ave winnings: $-4836.75
Round number: 121800              Ave money: $160.92          Ave winnings: $-4839.08
Round number: 122100              Ave money: $159.05          Ave winnings: $-4840.95
Round number: 122400              Ave money: $158.57          Ave winnings: $-4841.43
Round number: 122700              Ave money: $157.20          Ave winnings: $-4842.80
Round number: 123000              Ave money: $155.58          Ave winnings: $-4844.42
Round number: 123300              Ave money: $154.59          Ave winnings: $-4845.41
Round number: 123600              Ave money: $151.95          Ave winnings: $-4848.05
Round number: 123900              Ave money: $150.43          Ave winnings: $-4849.57
Round number: 124200              Ave money: $148.88          Ave winnings: $-4851.12
Round number: 124500              Ave money: $146.97          Ave winnings: $-4853.03
Round number: 124800              Ave money: $145.84          Ave winnings: $-4854.16
Round number: 125100              Ave money: $145.09          Ave winnings: $-4854.91
Round number: 125400              Ave money: $143.58          Ave winnings: $-4856.42
Round number: 125700              Ave money: $143.34          Ave winnings: $-4856.66
Round number: 126000              Ave money: $143.25          Ave winnings: $-4856.75
Round number: 126300              Ave money: $142.00          Ave winnings: $-4858.01
Round number: 126600              Ave money: $141.24          Ave winnings: $-4858.76
Round number: 126900              Ave money: $139.68          Ave winnings: $-4860.32
Round number: 127200              Ave money: $139.45          Ave winnings: $-4860.55
Round number: 127500              Ave money: $139.29          Ave winnings: $-4860.71
Round number: 127800              Ave money: $138.16          Ave winnings: $-4861.84
Round number: 128100              Ave money: $137.64          Ave winnings: $-4862.36
Round number: 128400              Ave money: $137.22          Ave winnings: $-4862.78
Round number: 128700              Ave money: $136.88          Ave winnings: $-4863.12
